time	oxygen	pressure	temperature	salinity
30-07-2019 05:39:17	80.17	-0.01	20.74	0.01
30-07-2019 05:39:17	80.17	0.02	20.74	0.01
30-07-2019 05:39:17	80.17	-0.03	20.74	0.01
30-07-2019 05:39:18	80.18	0.00	20.73	0.01
30-07-2019 05:39:18	80.19	0.00	20.73	0.01
30-07-2019 05:39:19	80.20	0.01	20.73	0.01
30-07-2019 05:39:19	80.20	-0.01	20.72	0.01
30-07-2019 05:39:20	80.20	0.01	20.72	0.01
30-07-2019 05:39:21	80.19	0.00	20.72	0.01
30-07-2019 05:39:21	80.18	0.03	20.72	0.01
30-07-2019 05:39:21	80.18	-0.01	20.71	0.01
30-07-2019 05:39:22	80.17	0.01	20.71	0.01
30-07-2019 05:39:22	80.18	0.00	20.71	0.01
30-07-2019 05:39:22	80.18	0.01	20.71	0.01
30-07-2019 05:39:23	80.19	-0.02	20.71	0.01
30-07-2019 05:39:23	80.20	0.01	20.71	0.01
30-07-2019 05:39:23	80.20	-0.02	20.71	0.01
30-07-2019 05:39:24	80.21	0.02	20.71	0.01
30-07-2019 05:39:24	80.21	-0.02	20.71	0.01
30-07-2019 05:39:24	80.20	0.02	20.71	0.01
30-07-2019 05:39:25	80.20	-0.01	20.71	0.01
30-07-2019 05:39:25	80.20	0.01	20.71	0.01
30-07-2019 05:39:26	80.19	-0.02	20.72	0.01
30-07-2019 05:39:26	80.19	0.00	20.72	0.01
30-07-2019 05:39:26	80.19	0.00	20.72	0.01
30-07-2019 05:39:26	80.18	0.01	20.72	0.01
30-07-2019 05:39:27	80.19	0.00	20.73	0.01
30-07-2019 05:39:27	80.20	0.01	20.73	0.01
30-07-2019 05:39:28	80.20	0.00	20.74	0.01
30-07-2019 05:39:28	80.19	0.00	20.74	0.01
30-07-2019 05:39:29	80.19	0.00	20.76	0.01
30-07-2019 05:39:30	80.18	0.01	20.76	0.01
30-07-2019 05:39:30	80.18	-0.01	20.76	0.01
30-07-2019 05:39:31	80.17	0.01	20.76	0.01
30-07-2019 05:39:31	80.18	-0.01	20.76	0.01
30-07-2019 05:39:31	80.19	0.01	20.75	0.01
30-07-2019 05:39:32	80.19	-0.01	20.76	0.01
30-07-2019 05:39:32	80.20	0.03	20.75	0.01
30-07-2019 05:39:33	80.19	0.00	20.74	0.01
30-07-2019 05:39:33	80.20	0.02	20.74	0.01
30-07-2019 05:39:34	80.20	-0.02	20.74	0.01
30-07-2019 05:39:35	80.21	0.01	20.73	0.01
30-07-2019 05:39:35	80.21	0.00	20.73	0.01
30-07-2019 05:39:35	80.21	0.01	20.73	0.01
30-07-2019 05:39:36	80.20	-0.01	20.73	0.01
30-07-2019 05:39:36	80.20	0.00	20.73	0.01
30-07-2019 05:39:36	80.20	-0.03	20.72	0.01
30-07-2019 05:39:37	80.20	0.04	20.72	0.01
30-07-2019 05:39:38	80.20	-0.01	20.72	0.01
30-07-2019 05:39:38	80.20	0.02	20.72	0.01
30-07-2019 05:39:38	80.19	-0.01	20.72	0.01
30-07-2019 05:39:39	80.19	0.00	20.72	0.01
30-07-2019 05:39:39	80.18	-0.01	20.72	0.01
30-07-2019 05:39:40	80.18	0.02	20.71	0.01
30-07-2019 05:39:41	80.18	-0.01	20.71	0.01
30-07-2019 05:39:41	80.18	0.00	20.71	0.01
30-07-2019 05:39:41	80.18	-0.01	20.71	0.01
30-07-2019 05:39:42	80.19	0.00	20.71	0.01
30-07-2019 05:39:42	80.19	-0.01	20.70	0.01
30-07-2019 05:39:43	80.19	0.02	20.70	0.01
30-07-2019 05:39:43	80.19	-0.01	20.70	0.01
30-07-2019 05:39:44	80.18	0.01	20.70	0.01
30-07-2019 05:39:44	80.18	0.00	20.70	0.01
