time	oxygen	pressure	temperature	salinity
30-07-2019 03:25:12	67.971,00	176.014,00	19.91	36.353,00
30-07-2019 03:25:15	68.067,00	177.044,00	19.722,00	36.358,00
30-07-2019 03:25:16	68.038,00	178.059,00	19.676,00	36.365,00
30-07-2019 03:25:17	67.975,00	179.052,00	19.632,00	36.335,00
30-07-2019 03:25:18	67.947,00	180.218,00	19.604,00	36.344,00
30-07-2019 03:25:18	67.985,00	181.083,00	19.568,00	36.336,00
30-07-2019 03:25:19	68.208,00	182.012,00	19.522,00	36.363,00
30-07-2019 03:25:21	68.19	183.004,00	19.386,00	36.257,00
30-07-2019 03:25:23	67.89	184.024,00	19.263,00	36.259,00
30-07-2019 03:25:24	67.763,00	185.113,00	19.206,00	36.273,00
30-07-2019 03:25:25	67.71	186.033,00	19.151,00	36.284,00
30-07-2019 03:25:26	67.767,00	187.078,00	19.097,00	36.25
30-07-2019 03:25:28	67.632,00	188.121,00	19.078,00	36.266,00
30-07-2019 03:25:29	67.615,00	189.076,00	19.073,00	36.272,00
30-07-2019 03:25:30	67.714,00	190.027,00	19.072,00	36.259,00
30-07-2019 03:25:31	67.774,00	191.023,00	19.068,00	36.264,00
30-07-2019 03:25:32	67.699,00	192.088,00	19.055,00	36.268,00
30-07-2019 03:25:33	67.647,00	193.035,00	19.044,00	36.259,00
30-07-2019 03:25:35	67.615,00	194.009,00	19.021,00	36.24
30-07-2019 03:25:36	67.421,00	195.008,00	18.95	36.228,00
30-07-2019 03:25:37	67.315,00	196.087,00	18.875,00	36.185,00
30-07-2019 03:25:38	67.24	197.082,00	18.814,00	36.168,00
30-07-2019 03:25:40	67.244,00	198.063,00	18.747,00	36.167,00
30-07-2019 03:25:42	67.089,00	199.091,00	18.69	36.176,00
30-07-2019 03:25:43	66.969,00	200.163,00	18.637,00	36.146,00
30-07-2019 03:25:43	66.82	201.121,00	18.575,00	36.13
30-07-2019 03:25:44	66.711,00	202.087,00	18.507,00	36.139,00
30-07-2019 03:25:45	66.757,00	203.126,00	18.444,00	36.136,00
30-07-2019 03:25:48	66.757,00	204.03	18.394,00	36.116,00
30-07-2019 03:25:49	66.736,00	205.031,00	18.389,00	36.141,00
30-07-2019 03:25:50	66.686,00	206.132,00	18.381,00	36.148,00
30-07-2019 03:25:51	66.725,00	207.07	18.38	36.14
30-07-2019 03:25:52	66.813,00	208.051,00	18.373,00	36.115,00
30-07-2019 03:25:54	66.792,00	209.017,00	18.363,00	36.13
30-07-2019 03:25:55	66.753,00	210.105,00	18.346,00	36.129,00
30-07-2019 03:25:56	66.697,00	211.099,00	18.308,00	36.12
30-07-2019 03:25:57	66.623,00	212.084,00	18.271,00	36.109,00
30-07-2019 03:25:58	66.506,00	213.09	18.167,00	36.019,00
30-07-2019 03:25:59	66.418,00	214.063,00	18.057,00	36.042,00
30-07-2019 03:26:00	66.365,00	215.008,00	17.953,00	35.988,00
30-07-2019 03:26:02	66.202,00	214.994,00	17.871,00	36.026,00
30-07-2019 03:26:02	66.202,00	215.048,00	17.869,00	36.021,00
30-07-2019 03:26:03	66.188,00	216.1	17.823,00	36.037,00
30-07-2019 03:26:04	66.079,00	217.099,00	17.796,00	36.05
30-07-2019 03:26:05	66.097,00	218.102,00	17.768,00	36.026,00
30-07-2019 03:26:06	66.167,00	219.071,00	17.727,00	36.003,00
30-07-2019 03:26:07	66.079,00	220.031,00	17.674,00	36.012,00
30-07-2019 03:26:08	65.991,00	221.162,00	17.63	35.999,00
30-07-2019 03:26:09	65.874,00	222.07	17.597,00	35.984,00
30-07-2019 03:26:10	65.895,00	223.066,00	17.55	35.998,00
30-07-2019 03:26:11	65.934,00	224.033,00	17.489,00	35.943,00
30-07-2019 03:26:13	66.044,00	225.038,00	17.463,00	35.955,00
30-07-2019 03:26:16	65.878,00	226.019,00	17.447,00	35.965,00
30-07-2019 03:26:17	65.779,00	227.093,00	17.391,00	35.968,00
30-07-2019 03:26:18	65.722,00	228.088,00	17.331,00	35.949,00
30-07-2019 03:26:19	65.546,00	229.124,00	17.3	35.935,00
30-07-2019 03:26:20	65.45	230.196,00	17.284,00	35.945,00
30-07-2019 03:26:20	65.443,00	231.101,00	17.277,00	35.954,00
30-07-2019 03:26:21	65.5	232.125,00	17.258,00	35.957,00
30-07-2019 03:26:22	65.74	233.102,00	17.201,00	35.898,00
30-07-2019 03:26:25	65.609,00	234.013,00	17.116,00	35.88
30-07-2019 03:26:27	65.532,00	235.054,00	17.072,00	35.898,00
30-07-2019 03:26:29	65.472,00	236.008,00	17.048,00	35.893,00
30-07-2019 03:26:30	65.454,00	237.078,00	17.031,00	35.906,00
30-07-2019 03:26:31	65.426,00	238.149,00	17.023,00	35.913,00
30-07-2019 03:26:32	65.295,00	239.118,00	16.998,00	35.905,00
30-07-2019 03:26:33	65.164,00	240.13	16.953,00	35.876,00
30-07-2019 03:26:33	65.097,00	241.031,00	16.906,00	35.869,00
